max_err,mae,rmse,median_rel_err,runtime_s,mem_bytes,dataset,method,n_points,status
107.91279371131562,23.599631952806796,30.892194457400453,0.9950251882755644,0.015127500053495169,4800,chaotic__uneven_clean,ALPRD_v1.0,200,ok
107.91279371131562,23.599631952806796,30.892194457400453,0.9950251882755644,0.01893469993956387,4800,chaotic__uneven_clean,ALPRD_v1.0_fast,200,ok
70.55731449340396,11.50577814452443,16.009149503629818,0.5084967663640199,0.17162889998871833,4800,chaotic__uneven_clean,ALPRD_v1.1,200,ok
69.64012566912592,8.064402345207508,12.475165267592454,0.2991938959613941,0.0729514000704512,4800,chaotic__uneven_clean,ALPRD_v1.2,200,ok
71.1553382043978,4.084426942745868,11.726314121421263,0.0541567294069215,0.12270629999693483,4800,chaotic__uneven_clean,ALPRD_v1.3,200,ok
71.1553382043978,4.084426942745868,11.726314121421263,0.0541567294069215,0.12479230004828423,4800,chaotic__uneven_clean,ALPRD_v1.4,200,ok
58.87519972528355,9.249721119115453,12.487013362240935,0.387899472253704,0.46184540004469454,4800,chaotic__uneven_clean,tv_diff,200,ok
58.603332434034414,6.301794635736935,10.015875082859418,0.16903350420218116,0.4524239000165835,4800,chaotic__uneven_clean,tv_diff_l1,200,ok
5.196052008077565,0.26292153283728187,0.6030701745510769,0.006491511880429159,0.010132299968972802,4800,chaotic__uneven_clean,rbf_fd,200,ok
77.30448105926033,7.1678001951893835,10.958815803337016,0.2536805563255393,9.600073099136353e-06,4800,chaotic__uneven_gaussian,forward_diff,200,ok
45.59491717844366,7.038278620554998,10.02627743433507,0.2705277584606495,7.6000578701496124e-06,4800,chaotic__uneven_gaussian,backward_diff,200,ok
40.67024788522588,3.0481460874553195,6.153035668692885,0.08432283821677883,1.8700025975704193e-05,4800,chaotic__uneven_gaussian,central_diff,200,ok
42.62384023610977,2.8760460288615435,6.234415453094208,0.0755315155891935,0.005087899975478649,4800,chaotic__uneven_gaussian,high_order_fd,200,ok
42.15989653414266,2.936858771785168,6.204932754177285,0.07428545474130806,0.00035149999894201756,4800,chaotic__uneven_gaussian,cubic_spline,200,ok
55.71650760734746,6.050120080213565,10.20451423024052,0.20680536309830494,0.0007573999464511871,4800,chaotic__uneven_gaussian,savgol_resampled,200,ok
113.2201502405141,23.221861107809655,30.86242391279541,0.9610973871898627,0.0006844999734312296,4800,chaotic__uneven_gaussian,savgol_matched,200,ok
107.92688849110147,23.59829479309139,30.888890548966017,0.994525223209957,0.01445770007558167,4800,chaotic__uneven_gaussian,ALPRD_v1.0,200,ok
107.92688849110147,23.59829479309139,30.888890548966017,0.9945252232099568,0.018686399911530316,4800,chaotic__uneven_gaussian,ALPRD_v1.0_fast,200,ok
70.61406032992718,11.572191052460079,16.06012257038021,0.5087904686488245,0.1658316000830382,4800,chaotic__uneven_gaussian,ALPRD_v1.1,200,ok
69.64232674265098,8.15091579123897,12.553564307225079,0.2990375521145133,0.06986699998378754,4800,chaotic__uneven_gaussian,ALPRD_v1.2,200,ok
82.80310614234921,4.440087481346841,11.77708322289848,0.07168127736977883,0.12232540000695735,4800,chaotic__uneven_gaussian,ALPRD_v1.3,200,ok
82.80310614234921,4.440087481346841,11.77708322289848,0.07168127736977883,0.126579099916853,4800,chaotic__uneven_gaussian,ALPRD_v1.4,200,ok
59.31423433820771,9.193895613867216,12.4440016573692,0.3940028159115079,0.4509743000380695,4800,chaotic__uneven_gaussian,tv_diff,200,ok
57.998540610063884,6.683437747573497,10.203895254221031,0.20785644857494132,0.4521318000042811,4800,chaotic__uneven_gaussian,tv_diff_l1,200,ok
42.12099972192962,2.983318886488504,6.22395129227877,0.07706943045463344,0.010027799988165498,4800,chaotic__uneven_gaussian,rbf_fd,200,ok
76.34272458375222,6.983738266878861,10.95923084556128,0.24883963350882354,8.800067007541656e-06,4800,chaotic__uneven_uniformnoise,forward_diff,200,ok
53.53593942361723,6.898618373856793,10.098507744420502,0.2529474050064339,7.00005330145359e-06,4800,chaotic__uneven_uniformnoise,backward_diff,200,ok
52.82464033513751,2.7510351932599906,6.634852814869317,0.07262262131983444,1.8600025214254856e-05,4800,chaotic__uneven_uniformnoise,central_diff,200,ok
53.46941429154871,2.5634900102283655,6.838061600965462,0.05064936985423754,0.005131600075401366,4800,chaotic__uneven_uniformnoise,high_order_fd,200,ok
53.25195796128599,2.5653019171639317,6.687648220839827,0.05797040524427009,0.0003461000742390752,4800,chaotic__uneven_uniformnoise,cubic_spline,200,ok
55.407309618456786,6.027813963946539,10.150031098876909,0.208941544658808,0.0007475999882444739,4800,chaotic__uneven_uniformnoise,savgol_resampled,200,ok
113.21419163026303,23.22495478979834,30.86698400392364,0.9616394671804791,0.0006722999969497323,4800,chaotic__uneven_uniformnoise,savgol_matched,200,ok
107.91988851923672,23.600282907181345,30.89143967324156,0.9951303712401695,0.014517799951136112,4800,chaotic__uneven_uniformnoise,ALPRD_v1.0,200,ok
107.91988851923672,23.600282907181345,30.891439673241557,0.9951303712401695,0.018297499977052212,4800,chaotic__uneven_uniformnoise,ALPRD_v1.0_fast,200,ok
70.71550083310018,11.456825515039986,15.956071364923714,0.5031874834817294,0.16882859996985644,4800,chaotic__uneven_uniformnoise,ALPRD_v1.1,200,ok
69.63437973087905,8.078471296067445,12.486463055442954,0.3034124222632741,0.06898940005339682,4800,chaotic__uneven_uniformnoise,ALPRD_v1.2,200,ok
71.44321317849915,4.143629111445934,11.640657098825937,0.05695746469378481,0.1217498000478372,4800,chaotic__uneven_uniformnoise,ALPRD_v1.3,200,ok
71.44321317849915,4.143629111445934,11.640657098825937,0.05695746469378481,0.12706209998577833,4800,chaotic__uneven_uniformnoise,ALPRD_v1.4,200,ok
58.938851795015125,9.063202393333304,12.31373721744244,0.3872850930880673,0.4897375999717042,4800,chaotic__uneven_uniformnoise,tv_diff,200,ok
58.37207245778123,6.263380655668621,9.828925547143866,0.18097539775866128,0.4405718999914825,4800,chaotic__uneven_uniformnoise,tv_diff_l1,200,ok
53.25928561563354,2.5986337194093614,6.702118866925369,0.05590077348166117,0.010087299975566566,4800,chaotic__uneven_uniformnoise,rbf_fd,200,ok
1964.2712355137812,38.42453362598746,177.9777153154297,0.23154350734766965,9.09995287656784e-06,4800,chaotic__uneven_outliers,forward_diff,200,ok
1968.2184274380304,38.24513093447097,177.94574128360858,0.26967607434604945,7.2999391704797745e-06,4800,chaotic__uneven_outliers,backward_diff,200,ok
